iteration,loss_gen_a_identity,loss_gen_b_identity,loss_gen_a_translate,loss_gen_b_translate,loss_gen_adv_a,loss_gen_adv_b,loss_gen_a_content,loss_gen_b_content,loss_gen_a_identity_content,loss_gen_b_identity_content,loss_gen_aba_noise,loss_gen_a_identity_noise,loss_dis_a,loss_dis_b,loss_gen_diversity
17000,"tensor(0.0064, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0108, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0261, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0174, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.5238, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.6023, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0882, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0756, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0198, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0466, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0018, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0006, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.2470, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.1427, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.7322, device='cuda:1', grad_fn=<MeanBackward0>)"
17100,"tensor(0.0046, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0095, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0278, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0154, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.4892, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.6753, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0991, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0795, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0181, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0460, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0018, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0005, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.4338, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.1895, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.1401, device='cuda:1', grad_fn=<MeanBackward0>)"
17200,"tensor(0.0056, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0091, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0153, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0160, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.7304, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.7643, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0706, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0802, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0181, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0373, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0014, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0004, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.2112, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.2369, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.5053, device='cuda:1', grad_fn=<MeanBackward0>)"
17300,"tensor(0.0078, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0091, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0169, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0153, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.5971, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.9705, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0776, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0785, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0214, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0352, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0014, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0004, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.2699, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.1749, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.5726, device='cuda:1', grad_fn=<MeanBackward0>)"
17400,"tensor(0.0115, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0102, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0201, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0159, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.4803, device='cuda:1', grad_fn=<DivBackward0>)","tensor(1.0823, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0822, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0864, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0245, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0537, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0019, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0005, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.1616, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.1261, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.2296, device='cuda:1', grad_fn=<MeanBackward0>)"
17500,"tensor(0.0047, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0122, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0128, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0184, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.6743, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.8775, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0692, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0953, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0183, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0649, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0011, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0004, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.2347, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.1106, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.5408, device='cuda:1', grad_fn=<MeanBackward0>)"
17600,"tensor(0.0079, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0114, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0297, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0191, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.4350, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.7027, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0881, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0869, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0232, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0476, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0027, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0006, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.1688, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.1767, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.1000, device='cuda:1', grad_fn=<MeanBackward0>)"
17700,"tensor(0.0141, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0100, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0310, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0161, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.6552, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.7053, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0993, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0806, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0290, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0507, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0024, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0006, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.2564, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.1198, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.4887, device='cuda:1', grad_fn=<MeanBackward0>)"
17800,"tensor(0.0077, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0090, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0211, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0135, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.5665, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.5968, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0875, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0648, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0235, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0367, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0017, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0007, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.3409, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.1545, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.3085, device='cuda:1', grad_fn=<MeanBackward0>)"
17900,"tensor(0.0094, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0098, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0097, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0149, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.5935, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.6419, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0552, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0761, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0255, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0387, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0011, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0005, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.2133, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.2135, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.8198, device='cuda:1', grad_fn=<MeanBackward0>)"
18000,"tensor(0.0049, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0104, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0196, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0187, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.6776, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.6418, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0848, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0923, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0187, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0466, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0011, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0006, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.2224, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.1862, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0871, device='cuda:1', grad_fn=<MeanBackward0>)"
18100,"tensor(0.0139, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0087, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0200, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0168, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.6496, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.8817, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0822, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0910, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0296, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0462, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0016, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0005, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.1694, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.1923, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.2562, device='cuda:1', grad_fn=<MeanBackward0>)"
18200,"tensor(0.0045, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0098, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0138, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0163, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.7071, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.7574, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0703, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0853, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0169, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0424, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0014, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0004, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.2486, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.1848, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.5200, device='cuda:1', grad_fn=<MeanBackward0>)"
18300,"tensor(0.0055, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0113, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0127, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0195, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.7135, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.6280, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0713, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0866, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0212, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0456, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0011, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0004, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.2166, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.1594, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.3052, device='cuda:1', grad_fn=<MeanBackward0>)"
18400,"tensor(0.0023, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0095, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0155, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0164, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.7206, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.6629, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0740, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0796, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0131, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0419, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0013, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0003, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.2257, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.2034, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.7078, device='cuda:1', grad_fn=<MeanBackward0>)"
18500,"tensor(0.0050, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0090, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0103, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0148, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.6499, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.5694, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0593, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0873, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0177, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0483, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0009, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0004, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.1651, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.2133, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.5390, device='cuda:1', grad_fn=<MeanBackward0>)"
18600,"tensor(0.0205, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0107, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0515, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0176, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.7508, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.7366, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.1242, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.1007, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0416, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0639, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0033, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0012, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.3258, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.2875, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.3594, device='cuda:1', grad_fn=<MeanBackward0>)"
18700,"tensor(0.0069, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0095, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0142, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0159, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.5631, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.7279, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0704, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0811, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0198, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0389, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0011, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0004, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.1998, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.1861, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.6253, device='cuda:1', grad_fn=<MeanBackward0>)"
18800,"tensor(0.0024, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0090, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0089, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0155, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.5160, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.7692, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0577, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0792, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0187, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0442, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0009, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0004, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.2056, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.1320, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.1266, device='cuda:1', grad_fn=<MeanBackward0>)"
18900,"tensor(0.0033, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0092, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0118, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0145, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.7290, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.4758, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0647, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0752, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0139, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0435, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0011, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0004, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.1612, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.2413, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.2783, device='cuda:1', grad_fn=<MeanBackward0>)"
19000,"tensor(0.0101, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0100, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0417, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0175, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.4680, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.7549, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.1084, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0849, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0279, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0476, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0027, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0008, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.1545, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.1041, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.2438, device='cuda:1', grad_fn=<MeanBackward0>)"
19100,"tensor(0.0107, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0095, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0247, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0142, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.6128, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.6183, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0902, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0784, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0264, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0376, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0018, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0007, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.3486, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.1989, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.3482, device='cuda:1', grad_fn=<MeanBackward0>)"
19200,"tensor(0.0061, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0094, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0078, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0146, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.5020, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.5177, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0552, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0713, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0268, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0410, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0010, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0005, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.2262, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.1404, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.7349, device='cuda:1', grad_fn=<MeanBackward0>)"
19300,"tensor(0.0059, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0090, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0283, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0140, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.5330, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.5645, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.1008, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0722, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0194, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0355, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0017, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0004, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.2435, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.3045, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.4933, device='cuda:1', grad_fn=<MeanBackward0>)"
19400,"tensor(0.0033, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0094, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0122, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0144, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.4079, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.8023, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0695, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0778, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0160, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0367, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0014, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0005, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.2547, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.1532, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.5376, device='cuda:1', grad_fn=<MeanBackward0>)"
19500,"tensor(0.0053, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0110, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0191, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0187, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.6421, device='cuda:1', grad_fn=<DivBackward0>)","tensor(1.0348, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0793, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0906, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0173, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0474, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0017, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0005, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.1822, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.1312, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.4993, device='cuda:1', grad_fn=<MeanBackward0>)"
19600,"tensor(0.0052, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0091, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0089, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0128, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.4456, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.8168, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0596, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0670, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0216, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0434, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0010, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0005, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.1531, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.1129, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.7156, device='cuda:1', grad_fn=<MeanBackward0>)"
